Date,Open,High,Low,Close,Adj Close,Volume
2004-02-09,245.738998,250.423996,243.677002,249.128006,165.312271,13457674
2004-02-10,250.542007,251.042999,241.024994,244.707993,162.379318,14708732
2004-02-11,246.328003,254.578995,245.738998,253.606003,168.283722,22097470
2004-02-12,255.580002,255.904999,247.830994,251.425995,166.837173,13989365
2004-02-13,252.220993,259.115997,251.102005,258.380005,171.451614,18160069
2004-02-16,256.404999,265.421997,256.404999,261.562012,173.563065,15782918
2004-02-17,263.417999,268.074005,261.061005,267.484009,177.492676,16979761
2004-02-18,268.721985,269.459015,264.007996,265.127014,175.928650,11420207
2004-02-19,266.600006,269.134003,255.845993,257.554993,170.904160,21511070
2004-02-20,256.936005,262.976013,254.225006,258.881012,171.784027,18873460
2004-02-23,262.239990,265.540009,253.223007,255.345001,169.437683,12665457
2004-02-24,253.988998,262.239990,251.220001,261.296997,173.387207,19141843
2004-02-25,261.945007,262.092010,250.218002,252.457001,167.521301,18586958
2004-02-26,252.192001,258.497986,247.889999,249.451996,165.527298,16400180
2004-02-27,251.514008,253.960007,242.585999,251.837997,167.110550,25960498
2004-03-01,256.170013,257.730988,247.860992,257.023987,170.551758,16774103
2004-03-02,null,null,null,null,null,null
2004-03-03,259.115997,263.595001,257.230988,259.588013,172.253159,18640452
2004-03-04,253.399994,258.644989,249.923004,252.427994,167.502029,13827529
2004-03-05,253.901001,261.591003,250.925003,260.825012,173.074005,17845724
2004-03-08,261.798004,266.306000,258.763000,265.009003,175.850357,14500052
2004-03-09,264.596985,264.596985,257.760986,260.765991,173.034821,16031629
2004-03-10,259.588013,260.942993,255.227005,256.700012,170.336792,15658662
2004-03-11,254.638000,255.462997,244.442993,247.712997,164.373337,14155921
2004-03-12,244.384003,249.570007,242.645004,248.362000,164.803986,15147604
2004-03-15,252.220993,252.220993,224.848007,230.889008,153.209564,22527665
2004-03-16,223.934998,234.395004,223.934998,231.095001,153.346252,21118522
2004-03-17,232.244003,236.309998,229.591995,233.334000,154.831955,14675887
2004-03-18,233.363998,235.132004,225.171997,226.438995,150.256699,13956097
2004-03-19,227.470993,232.007996,222.225998,229.473999,152.270615,15286790
2004-03-22,230.417007,230.417007,212.914993,215.449005,142.964142,13308156
2004-03-23,215.095001,220.074997,213.061996,214.947998,142.631683,12735924
2004-03-24,215.684998,215.684998,207.492996,209.615005,139.092911,14952147
2004-03-25,211.029007,220.929001,209.938995,217.186996,144.117386,14738230
2004-03-26,221.313004,224.112000,218.425003,221.548004,147.011200,10954976
2004-03-29,220.988007,225.113998,214.300003,223.757996,148.477661,10895163
2004-03-30,224.524002,228.561005,221.313004,225.143005,149.396713,14470060
2004-03-31,223.934998,228.031006,221.695999,226.085999,150.022461,9856625
2004-04-01,225.703003,232.184998,225.171997,231.507004,153.619644,9345598
2004-04-02,232.479996,238.490997,228.207001,237.666000,157.706512,13431454
2004-04-05,239.580994,243.617996,237.606995,239.315994,158.801392,10444231
2004-04-06,240.434998,240.906998,231.477997,233.865005,155.184311,11079000
